modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.7795191814889384,-15.809425352746661,"(5, 5)",tanh,0.01,0.001
2,0.7734222765323495,-517.4245288250703,"(3,)",relu,0.01,0.0001
3,0.7851681506749318,-77.03040524090363,"(5,)",relu,0.1,0.001
