modelo,r2,mse,hidden_layer_sizes,activation,alpha,learning_rate_init
83,0.726755824891886,0.008702516194566612,"(10,)",relu,0.1,0.001
84,0.7196119425893164,0.00893004072059023,"(3,)",relu,0.001,0.001
85,0.7663175925469765,0.007442518891539439,"(5, 5)",relu,0.1,0.001
86,0.7605183430155976,0.007627218393159881,"(10,)",relu,0.1,0.001
87,0.7694677778908938,0.0073421890712954034,"(5,)",tanh,0.001,0.0001
88,0.7548817486099787,0.0078067375140256565,"(3,)",relu,0.01,0.0001
89,0.7104388756850408,0.009222192468222968,"(3,)",tanh,0.001,0.001
90,0.7479456358592939,0.008027644816134811,"(3,)",tanh,0.01,0.0001
91,0.7726385851407704,0.007241202466801521,"(5, 5)",tanh,0.01,0.0001
92,0.8462496569367205,0.004896773553906324,"(5,)",relu,0.001,0.0001
93,0.7206639173854555,0.008896536519828935,"(5,)",relu,0.1,0.001
94,0.7950122338492481,0.006528627202790745,"(5,)",tanh,0.001,0.0001
95,0.7310149229838413,0.00856686876455342,"(5, 5)",tanh,0.001,0.001
96,0.7173909081461751,0.009000778141442768,"(5,)",tanh,0.1,0.001
97,0.804827455847239,0.006216023545797928,"(3,)",relu,0.01,0.001
98,0.7588191683720029,0.007681335172950081,"(3,)",relu,0.1,0.0001
99,0.7736236372575155,0.0072098296772623695,"(3,)",relu,0.001,0.0001
100,0.7067352363507544,0.00934014916857242,"(10,)",tanh,0.1,0.001
