idx,Real (norm),Pred_mean,Pred_std,Real (denorm),Pred_mean_denorm,Pred_std_denorm
22,0.5244994469777599,0.56774825,0.18582591,0.8530159976827055,0.8970098,0.1890269
17,0.12644596915928114,0.22201331,0.2197453,0.4481057337412844,0.5453193,0.22353058
1,0.49745033838121366,0.5260498,0.18787357,0.825500946787453,0.85459304,0.19110985
12,0.40599423484867536,0.52812296,0.1910622,0.7324694395051546,0.8567019,0.1943534
19,0.4764005699413898,0.5561332,0.18195435,0.8040885794302165,0.88519466,0.18508866
5,0.43271421174722613,0.4974191,0.16115876,0.7596496891484819,0.82546914,0.16393484
