modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
84,0.75664152631375,-13.791445177017279,"(5, 5)",relu,0.001,0.001
85,0.704031304753486,-588.0780801854446,"(3,)",relu,0.01,0.0001
86,0.8962562432073438,-4.162822007769414,"(10,)",tanh,0.1,0.0001
87,0.628251031827189,-105.17463577533745,"(5, 5)",relu,0.1,0.0001
88,0.9143168732805941,-4.395483949792562,"(3,)",relu,0.1,0.0001
89,0.6477048556970348,-117.31984780120126,"(5,)",relu,0.01,0.001
90,0.7187215071075743,-3.4452648963404595,"(10,)",tanh,0.001,0.001
91,0.6843327806492282,-134.55153248961622,"(10,)",relu,0.01,0.001
92,0.6110337936051041,-3.013418385577735,"(5,)",tanh,0.1,0.001
93,0.7911963898148998,-0.12549833428828006,"(10,)",tanh,0.1,0.0001
94,0.828201002356509,-10.193240118875952,"(10,)",relu,0.01,0.001
95,0.6185850148016583,-11.250749550553047,"(5,)",tanh,0.1,0.001
96,0.974810702616575,-68.2325099064958,"(3,)",relu,0.1,0.0001
97,0.7539088432965719,-4.580798710432219,"(5,)",tanh,0.1,0.001
98,0.6092893770272785,-7.788472183871647,"(10,)",tanh,0.001,0.001
99,0.7319107401244898,-2.574313328036828,"(3,)",tanh,0.01,0.001
100,0.6748353687735844,-3.5474542716015334,"(3,)",relu,0.001,0.001
