modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
82,0.9088059798113773,-8.800598466926651,"(5, 5)",tanh,0.01,0.001
83,0.7421491728257018,-5.95077204684449,"(5, 5)",tanh,0.1,0.001
84,0.8042145039489697,-1.775319488694342,"(3,)",tanh,0.001,0.001
85,0.7796904906823733,-24.061878070188953,"(3,)",relu,0.001,0.001
86,0.6905538341291446,-13.663794219175347,"(5,)",tanh,0.01,0.001
87,0.9491520911143022,-2.2348736117158445,"(5,)",tanh,0.1,0.001
88,0.8588417263057115,-192.66252211716034,"(5,)",relu,0.1,0.0001
89,0.7658669503832688,-122.7427935139356,"(5,)",relu,0.1,0.001
90,0.6695888183953338,-19.16363545009641,"(10,)",tanh,0.1,0.0001
91,0.7667409225976696,-273.48623767050873,"(10,)",relu,0.001,0.0001
92,0.6070770937837615,-20.589163212040337,"(10,)",relu,0.01,0.001
93,0.7545408133849403,-25.202121223808877,"(5, 5)",tanh,0.001,0.0001
94,0.8726561083616909,-2.5956712431092517,"(5, 5)",relu,0.01,0.001
95,0.925516526224315,-0.5764502128698625,"(5, 5)",relu,0.1,0.001
96,0.7339550973089366,-3.1934327834157656,"(3,)",tanh,0.1,0.001
97,0.9265042264744721,-96.33677843587802,"(3,)",relu,0.001,0.001
98,0.8120439322375241,-1.193472237323081,"(5,)",tanh,0.1,0.001
99,0.6771656194564202,-100.42348391754918,"(5,)",relu,0.01,0.001
100,0.7675999911711124,-3140.6095713266964,"(5,)",relu,0.1,0.001
