idx,Real (norm),Pred_mean,Pred_std,Real (denorm),Pred_mean_denorm,Pred_std_denorm
22,0.11310739077174356,0.23637313,0.1591285,0.488,0.7898778,0.3897057
17,-0.006533278889342575,0.081688784,0.18424125,0.195,0.41105583,0.4512068
1,0.26296447529603917,0.30960542,0.1592244,0.855,0.9692237,0.38994056
12,0.048999591670069426,0.23786904,0.16509108,0.331,0.79354125,0.40430805
19,0.22090649244589627,0.28314143,0.15395707,0.752,0.9044134,0.37704086
5,0.7182523478971008,0.26354977,0.13807,1.97,0.8564334,0.33813342
