modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
83,0.6679448197026069,-30.303754866820523,"(10,)",relu,0.001,0.001
84,0.6938930816426087,-50.58838064729704,"(3,)",tanh,0.01,0.001
85,0.6887165650503709,-5.489745893419658,"(3,)",tanh,0.1,0.0001
86,0.6515561874123765,-2.5605006633381517,"(10,)",tanh,0.1,0.001
87,0.6250287907109813,-1.5130365879769152,"(10,)",tanh,0.1,0.0001
88,0.9503162851746617,-18.189584955407017,"(10,)",relu,0.01,0.001
89,0.702914695546158,-4.6540932994690705,"(5, 5)",tanh,0.1,0.001
90,0.8086289320804948,-171.9441079982517,"(5, 5)",relu,0.01,0.001
91,0.7113087675809614,-16.311342512637378,"(3,)",relu,0.01,0.001
92,0.7665003903862021,-13.472119738715506,"(10,)",tanh,0.001,0.001
93,0.6650229939239403,-11.470869117191365,"(5,)",tanh,0.001,0.001
94,0.7125500437613637,-6.089302642011925,"(10,)",tanh,0.001,0.001
95,0.7568709875423403,-6.270383877575843,"(3,)",tanh,0.001,0.001
96,0.60122648860614,-7.887371976875524,"(3,)",tanh,0.01,0.0001
97,0.7868359717029211,-74.41107128907385,"(5,)",relu,0.01,0.0001
98,0.7226254226239177,-10.790259455138807,"(10,)",tanh,0.01,0.001
99,0.6288185883528348,-18.203723672627305,"(10,)",relu,0.001,0.001
100,0.7998994812915003,-11.458399168307922,"(10,)",tanh,0.001,0.0001
