modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
83,0.846473590481905,-261.9542956091613,"(10,)",relu,0.1,0.0001
84,0.752569106835548,-395.233505235262,"(10,)",relu,0.1,0.001
85,0.6583296886793045,-5.555973961352764,"(3,)",tanh,0.1,0.0001
86,0.7971635907552459,-21.57882992838441,"(3,)",relu,0.1,0.001
87,0.731478192325486,-62.381867683240074,"(5,)",relu,0.01,0.0001
88,0.7247531175063207,-70.05271972817361,"(3,)",relu,0.1,0.0001
89,0.7127044491891762,-3.4505838783810745,"(10,)",tanh,0.001,0.0001
90,0.8524276623940424,-305.02896876385927,"(10,)",relu,0.001,0.0001
91,0.676862135952774,-95.5249004306291,"(10,)",relu,0.1,0.001
92,0.8292545403136498,0.16638701558066493,"(5,)",tanh,0.001,0.001
93,0.894354975430623,-82.61729139095742,"(5,)",relu,0.001,0.0001
94,0.6361355253743812,-2.5532448375525583,"(5, 5)",tanh,0.01,0.001
95,0.6876956504597251,-92.94673004412677,"(5, 5)",relu,0.01,0.0001
96,0.7902786058772768,-7.783954090621107,"(10,)",relu,0.01,0.001
97,0.9401253897075195,-68.44736904909281,"(3,)",relu,0.1,0.0001
98,0.6397735528508857,-3.30495411474572,"(10,)",tanh,0.01,0.001
99,0.8391589728396364,-3.167134419432154,"(10,)",tanh,0.1,0.0001
100,0.7531562712249108,-1.9617786741991958,"(10,)",tanh,0.001,0.001
