modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
83,0.7256797094338869,-27.91327946852208,"(10,)",tanh,0.1,0.001
84,0.8383474397183851,-309.70465985266395,"(10,)",relu,0.01,0.001
85,0.6761098414314024,-81.4434098064562,"(3,)",relu,0.001,0.001
86,0.7563547321637294,-28.557835512476537,"(5,)",tanh,0.1,0.001
87,0.6637014833413057,-24.41035112807458,"(10,)",tanh,0.01,0.0001
88,0.8699958205523062,-6.878177796366167,"(10,)",tanh,0.1,0.0001
89,0.6773017599235844,-12.532441250378323,"(5, 5)",tanh,0.1,0.001
90,0.9687381944304743,-366.7877673107438,"(10,)",relu,0.001,0.0001
91,0.6678651560072928,-152.21816992184304,"(3,)",relu,0.1,0.0001
92,0.6580190139797601,-34.13391158513996,"(5,)",tanh,0.1,0.001
93,0.7033964765152099,-8.05673160695753,"(10,)",tanh,0.001,0.001
94,0.6247557607937272,-36.582350646073465,"(5,)",tanh,0.1,0.0001
95,0.9604438225095613,-100.82966221066236,"(5,)",relu,0.01,0.0001
96,0.6399289155716145,-36.942362340901,"(10,)",relu,0.001,0.001
97,0.611799550196263,-226.32450188180806,"(10,)",relu,0.01,0.001
98,0.6197957883053382,-2.6045313237626644,"(5, 5)",tanh,0.01,0.001
99,0.8707654776285431,-446.4200114681677,"(5,)",relu,0.1,0.0001
100,0.8856523562272464,-21.774342553949626,"(10,)",tanh,0.001,0.0001
