modelo,r2,mse,hidden_layer_sizes,activation,alpha,learning_rate_init
83,0.747079578381555,0.013501047772684537,"(10,)",relu,0.001,0.0001
84,0.8145312554612292,0.009900435735218446,"(10,)",relu,0.001,0.001
85,0.7934259121070156,0.011027051953318911,"(5,)",tanh,0.001,0.0001
86,0.7333148672989398,0.014235816522137052,"(5,)",relu,0.1,0.001
87,0.7458306216543642,0.013567717851486074,"(10,)",tanh,0.01,0.0001
88,0.8840330981605169,0.006190384595147687,"(5,)",relu,0.001,0.0001
89,0.8851873994089533,0.00612876728406033,"(5, 5)",tanh,0.1,0.001
90,0.7313717086070726,0.014339543529078328,"(5,)",tanh,0.01,0.0001
91,0.7448564735980783,0.0136197184742963,"(5,)",tanh,0.1,0.001
92,0.8764894730316345,0.006593067947454884,"(10,)",relu,0.01,0.0001
93,0.7631254345589862,0.0126445100940785,"(5, 5)",tanh,0.01,0.001
94,0.7331686581861712,0.014243621254564983,"(3,)",tanh,0.1,0.001
95,0.7169344978529335,0.015110210724904845,"(3,)",relu,0.01,0.0001
96,0.7060943180367465,0.015688866195373814,"(5,)",tanh,0.001,0.0001
97,0.9138098460763021,0.004600883464500819,"(5, 5)",tanh,0.01,0.0001
98,0.8869909989807458,0.006032490028844067,"(5, 5)",relu,0.1,0.001
99,0.7634196621366109,0.012628804044894594,"(3,)",relu,0.1,0.001
100,0.7708972972695428,0.012229643279186561,"(5,)",relu,0.01,0.0001
