modelo,r2,mse,hidden_layer_sizes,activation,alpha,learning_rate_init
83,0.7223422169409927,0.021965132771030304,"(5,)",relu,0.01,0.001
84,0.8977017593844333,0.008092675856618074,"(5,)",relu,0.1,0.001
85,0.8509668609117785,0.011789810648529618,"(10,)",tanh,0.001,0.0001
86,0.8741116924329847,0.009958854239796854,"(10,)",tanh,0.01,0.0001
87,0.8623834754779773,0.010886657666540475,"(10,)",tanh,0.01,0.001
88,0.7925508836694025,0.016411019828916927,"(10,)",relu,0.001,0.001
89,0.8851815168256008,0.009083135360761765,"(10,)",relu,0.01,0.001
90,0.8993351384425954,0.00796346144208705,"(10,)",relu,0.1,0.001
91,0.7929916343802996,0.016376152634570266,"(5, 5)",tanh,0.001,0.0001
92,0.8422262163128419,0.01248127125519747,"(5, 5)",tanh,0.01,0.0001
93,0.756447463267216,0.01926711272818862,"(5, 5)",relu,0.01,0.0001
94,0.9553755865770631,0.0035301771658093565,"(5, 5)",relu,0.01,0.001
95,0.8974648632647598,0.008111416389169483,"(3,)",tanh,0.001,0.001
96,0.7897390176115706,0.01663346276069495,"(3,)",relu,0.001,0.0001
97,0.7359082739105125,0.020891940299232966,"(5,)",tanh,0.001,0.0001
98,0.8957198107415136,0.008249465140921484,"(5,)",tanh,0.001,0.001
99,0.9579335675756605,0.0033278187386802916,"(5,)",tanh,0.01,0.001
100,0.9286917624150968,0.005641098509699279,"(5,)",tanh,0.1,0.001
