Número de dato (test interno),Real (normalizado),Predicho Ensemble (normalizado),Real (desnormalizado),Predicho Ensemble (desnormalizado)
3,0.4134519276017875,0.4080960062107366,0.069,0.06815079306742727
19,0.04764775341795602,0.1377948094216647,0.011,0.025293246543402086
0,0.5143634239283618,0.48857610311804917,0.085,0.08091129704756597
