modelo,r2,mse,hidden_layer_sizes,activation,alpha,learning_rate_init
83,0.7370649141977494,0.015372961471129471,"(3,)",tanh,0.01,0.001
84,0.7254186263980806,0.016053882136698786,"(3,)",relu,0.1,0.001
85,0.7440718866692797,0.014963286522252116,"(10,)",tanh,0.001,0.0001
86,0.8796626563339512,0.007035734094108483,"(10,)",relu,0.001,0.001
87,0.7567149974343936,0.014224084851717,"(10,)",relu,0.01,0.001
88,0.7681921998531789,0.013553050059832905,"(5, 5)",tanh,0.01,0.0001
89,0.7532138495850621,0.014428785608286933,"(5, 5)",relu,0.01,0.001
90,0.796065240687015,0.011923403786060056,"(3,)",tanh,0.001,0.001
91,0.7487132077120848,0.014691923537930397,"(3,)",tanh,0.1,0.0001
92,0.8929146950940288,0.006260930379149713,"(3,)",relu,0.001,0.001
93,0.7674755859635971,0.013594948149167783,"(3,)",relu,0.1,0.001
94,0.7507816982719726,0.014570985605347047,"(5,)",tanh,0.01,0.001
95,0.8448960799499486,0.009068423027970717,"(5,)",tanh,0.1,0.001
96,0.8760811531666212,0.007245132965438657,"(10,)",tanh,0.1,0.001
97,0.8495536546496293,0.008796109745060473,"(10,)",relu,0.001,0.001
98,0.7902621493666357,0.01226269170957716,"(10,)",relu,0.1,0.001
99,0.7457469048284243,0.01486535364446441,"(5, 5)",tanh,0.01,0.0001
100,0.8113559449448053,0.011029405913146913,"(5, 5)",tanh,0.1,0.0001
